id,loan_amnt,funded_amnt,int_rate,installment,total_pymnt,exchange_rate,loan_amnt_EUR,funded_amnt_EUR,installment_EUR,total_pymnt_EUR,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,9401.854876708203,1000.0,944.9100378601208,0.1825,360.97,341.08417636636784,1072.82,1013.7183868170948,1.0583018064498901,11.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,11338.920454321451,12000.0,11338.920454321451,0.20989999999999998,324.58,306.698900088638,959.75,906.877408836251,1.0583018064498901,11.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,8997.399974193877,10000.0,8997.399974193877,0.1366,340.13,306.0285653222564,3726.25,3352.6561653839935,1.1114321947097778,4.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,25701.553029795286,27200.0,25701.553029795286,0.2899,553.87,523.3573226695852,41913.62,39604.60026105472,1.0583018064498901,11.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10052.86193958893,11400.0,10052.86193958893,0.2899,376.09,331.64744270701766,3753.6,3310.0370681088607,1.1340054273605347,8.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13288.50083055031,15000.0,13288.50083055031,0.1561,361.67,320.4034730256754,2880.35,2551.702224485039,1.1287955045700073,1.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9567.720597996224,10800.0,9567.720597996224,0.2899,328.22,290.7701161735482,2950.42,2613.7772413648167,1.1287955045700073,1.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,16422.84030243401,18000.0,16422.84030243401,0.2899,370.78,338.29226262980455,4432.02,4043.686482066311,1.0960345268249512,5.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9312.308973290663,1000.0,899.7399974193878,0.2299,291.72,262.47215204718384,1432.16,1288.5716347041505,1.1114321947097778,4.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6298.179981935715,7000.0,6298.179981935715,0.2899,233.81,210.36820879662704,7300.41,6568.470874560473,1.1114321947097778,4.0,1.0,36.0,11.0,1.0,2.0
12606806.0,24975.0,22830.645268682416,24975.0,22830.645268682416,0.2899,549.65,502.45702390115275,3831.55,3502.5729280969017,1.0939244031906128,7.0,1.0,60.0,10.0,1.0,2.0
13026045.0,12000.0,10796.879969032654,12000.0,10796.879969032654,0.2899,275.07,247.49148109015098,2799.58,2518.8941019753697,1.1114321947097778,4.0,1.0,60.0,13.0,1.0,2.0
14187903.0,12000.0,10796.879969032654,12000.0,10796.879969032654,0.1399,279.16,251.17141767959632,2846.33,2560.956946854726,1.1114321947097778,4.0,1.0,60.0,15.0,1.0,4.0
14428496.0,21000.0,19159.98035283968,21000.0,19159.98035283968,0.2899,471.29,429.99557811856255,5155.28,4703.574453018445,1.0960345268249512,5.0,1.0,60.0,11.0,1.0,4.0
14470171.0,21000.0,18603.901162770435,21000.0,18603.901162770435,0.2899,687.42,608.9854160624596,41913.62,37131.278278758014,1.1287955045700073,1.0,1.0,36.0,9.0,1.0,1.0
14550531.0,32000.0,30237.121211523867,32000.0,30237.121211523867,0.2899,1005.43,950.0408993657013,3089.0,2918.8271069499133,1.0583018064498901,11.0,1.0,36.0,6.0,1.0,0.0
14669896.0,21500.0,19616.170361240624,21500.0,19616.170361240624,0.2899,482.51,440.2324819070797,23855.94,21765.682938024867,1.0960345268249512,5.0,1.0,60.0,11.0,1.0,1.0
15389420.0,15000.0,13227.449920511752,15000.0,13227.449920511752,0.1399,348.95,307.7145766508384,41913.62,36960.68730249065,1.1340054273605347,8.0,0.0,60.0,14.0,1.0,2.0
16130931.0,20000.0,17768.399514306308,20000.0,17768.399514306308,0.1333,677.07,601.5225129575686,21119.05,18762.58588813053,1.1255937814712524,9.0,1.0,36.0,15.0,1.0,4.0
19137119.0,27000.0,24681.778668845855,27000.0,24681.778668845855,0.2899,586.92,536.527019863667,4075.47,3725.549944871156,1.0939244031906128,7.0,1.0,60.0,9.0,1.0,1.0
19646726.0,28000.0,25192.71992774286,28000.0,25192.71992774286,0.2899,863.54,776.9614773715381,9472.03,8522.364247756364,1.1114321947097778,4.0,1.0,36.0,4.0,0.0,3.0
